COD_LOCAL;CodMaterial;DESCRIPCION;Instock;CodInterno
U10;900829;NAC 6(28X35) ARANDAN;1;57914
U10;900831;NAC 6(28X35) LIMON D;1;57916
U10;900832;NUTRITION 6(28X35) N;1;57918
U10;900833;NAC TUTIFRUTI 6(28X3;1;57920
U10;900834;NAC TUTIFRUTI 6(28X3;0;57921
U10;900835;NAC TUTIFRUTI 6(28X3;1;57922
U10;900836;TEAFRUT 6(28X35) TE ;1;57923
U10;900837;TEAFRUT 6(28X35) TE ;1;57924
U10;6527; 3 SPAGHETTINI 400 G;1;26
U10;6532;ETTI TALLARIN 78 400;1;129
U10;6531;ETTI SPAGHETTI  5  4;1;230
U10;6530;ETTI CABELLO ANGEL 1;1;240
U10;6526;ETTI  TALLARIN 77  4;1;533
U10;6515;ETTI LASAÑA PREC 200;1;1203
U10;231748;ETTI PACK 3 SPAG 5 +;1;5067
U10;6516;ETTI CORBATAS 88  40;1;11488
U10;189986;ETTI  CARACOLITOS 35;1;18235
U10;6542;ETTI  MARIPOSA 81  2;1;18281
U10;210336;ETTI  QUIFAROS 33  4;1;18433
U10;6521;ETTI  CARACOLES 36  ;0;18436
U10;6514;ETTI  MOSTACHOLI 42 ;1;18443
U10;6518;ETTI  CANUTO 47  400;1;18447
U10;6528;ETTI CABELLITOS 51  ;1;18451
U10;6519;ETTI  ESPIRALES 56  ;1;18456
U10;6517;ETTI  CORBATITAS 83 ;1;18484
U10;756360;LLINI TOMATE MOZZARE;1;22066
U10;756361;LLINI VERDURAS LUCCH;0;22067
U10;606698;ETTI LASAÑA PREC 360;1;22166
U10;549001;IRAL 400G + 1 SALSA ;1;22276
U10;201379;3 SPG 400g LU + M.MI;1;22278
U10;863651; PANTRUCAS 250 G MAR;0;22550
U10;139763;AS NTZZ 6(10X110) PA;1;25032
U10;128222; NTZZ 18X74 CHAMPIÑO;1;25371
U10;128223; NTZZ 18X72 POLLO;0;25372
U10;128227; NTZZ 18X76 ESPARRAG;0;25374
U10;128228; NTZZ 18X80 CHOCLO;1;25375
U10;128229;NTZZ 18X70 POLLO/FID;0;25381
U10;128230;NTZZ 18X80 POSTA/CAB;0;25382
U10;128239;NTZZ 18X70 CARNE/ANI;0;25383
U10;128218;NTZZ 18X70 CARACOLIT;0;25384
U10;128219;NTZZ 18X70 CARNE/VER;0;25385
U10;128221;NTZZ 18X73 POLLO/SEM;0;25386
U10;128237;NTZZ 18X70 POLLO/ARR;0;25387
U10;192302;NTZZ 18X60 COSTILLA/;1;25388
U10;402121001;REN NTZZ CARNE 6(30X;1;25784
U10;212176;REN NTZZ CARNE 6(20X;1;25785
U10;402122001;REN NTZZ GALLI 6(30X;1;25787
U10;212178;REN NTZZ GALLI 6(20X;1;25788
U10;132462;UC-T DOY 24X200 ITAL;1;3705
U10;402124001;UC-I POU 24X200 NAPO;1;3801
U10;402124004;UC-I POU 24X200 BOLO;1;3802
U10;561345; LUCC ITALIANA 6(6*2;1;22446
U10;6535;A 250 G LUCCHETTI;1;541
U10;6537;A 500 G  FARDO LUCCH;1;2563
U10;6486;ANI SPAGHETTI 5  400;1;331
U10;6487;ANI  TALLARIN 77  40;1;332
U10;6491;ANI TALLARIN 78  400;1;333
U10;6495;ANI  FARFALLE 89  40;1;12488
U10;6490;ANI SPIRALI 56  400 ;1;19456
U10;669435;ANI AL BRONCE FARFAL;1;22021
U10;669437;ANI AL BRONCE TALLAR;1;22023
U10;669439;ANI AL BRONCE ESPIRA;1;22025
U10;669440;ANI AL BRONCE GNOCCH;1;22026
U10;669441;ANI AL BRONCE TORCHI;1;22027
U10;212985;E MARAVILLA MIRAFLOR;1;959
U10;4914;E MIRAFLORES MARAVIL;1;24175
U10;189591;E MIRAFLORES VEGETAL;1;24176
U10;195707;E VEGETAL PROTAL 24x;1;2917
U10;804656;ANIOLIVA TRADICIONAL;1;24220
U10;804657;ANI OLIVA TRADICIONA;1;24221
U103;138751; 3/4 CREM 48X60;1;56301
U103;138754; 3/4 CHOC 48X70;1;56304
U103;9693;ANT 1/2   48X60;1;56311
U103;8115;ANT LIGHT 48X42;1;56312
U103;60385;STELERA   48X76;0;56321
U103;10525;24X170 GRS.;1;50061
U103;10503;24X100 GRS;1;50062
U103;192563;48X50 GRS.;1;50063
U103;10529;DESC. 24X170 GRS.;1;50081
U103;10530;DESC. 24X100 GRS.;1;50082
U103;210094;DESC. 48X50 GRS.;1;50083
U103;341325;ARABIGO 24X170;1;50191
U103;705850;LIOFILIZADO 12X100;1;50252
U103;751557;TENTACIONES 24(8X19);1;50354
U103;751554;TENTACIONES 24(8X19);1;50355
U103;751558;TENTACIONES 24(8X22);1;50356
U103;751555;TENTACIONES 24(8X19);1;50357
U103;751552;TENTA DESCA 24(8x19);1;50363
U103;751553;TENTA LIGHT 24(8x15);1;50364
U103;872418;TENTA LIGHT 24(8X15);1;50365
U103;872419;TENTA DESC 24(8X20) ;1;50366
U103;872420;ORIGENES 12X250 COLO;1;50561
U103;872421;ORIGENES 12X250 ETIO;1;50562
U103;872422;ORIGENES 12X250 COST;1;50563
U103;879200;Y HILL 4(20X35) NARA;1;59311
U103;879201;Y HILL 4(20X35) DURA;1;59312
U103;879202;Y HILL 4(20X35) PIÑA;1;59313
U103;879203;Y HILL 4(20X35) FRUT;1;59314
U103;879204;Y HILL 4(20X35) MANZ;1;59316
U103;612688;O  8X320 BARBEQUE;1;53308
U103;193366;O 8X320 ORIGINAL;1;53401
U103;193367;O 8X320 QUESO;1;53402
U103;193368;O 8X320 CR.CEBOLLA;1;53403
U103;193369;O PIZZA 8x320;1;53404
U103;193370;O 8X320 JAMON;1;53405
U103;848746;O AIR CRUNCH 14X140 ;1;53451
U103;848747;O AIR CRUNCH 14X140 ;1;53452
U103;184582;O 24X80 ORIGINAL;1;53536
U103;184590;O 24X80 QUESO;1;53537
U103;184575;O 24X80 CEBOLLA;1;53538
U103;184586;O 24X80 PIZZA O KETC;1;53539
U103;184578;O 24X80 JAMON;1;53540
U103;899945;O AIR CRUNCH 8(6X35);1;53543
U103;899946;O 8X6X40 ORIGINAL   ;1;53556
U103;899947;O 8X6X40 QUESO   dia;1;53557
U103;899948;O 8X6X40 CREMA CEBOL;0;53558
U103;899949;O 4X5X40 SURTIDAS   ;1;53588
U103;568200;QUA 4(25X6) NARANJA;1;58611
U103;568202;QUA 4(25X6) UVA BLAN;1;58613
U103;685550;AC 4(25X7) LIMONADA ;1;58632
U103;685551;AC 4(25X7) LIMONADA ;1;58633
U103;685552;AC 4(25X7) LIMONADA ;1;58634
U103;401709001;N ANTIOX 4(25X7) MAN;1;58643
U103;401709002;N ANTIOX 4(25X7) PIÑ;1;58645
U103;401709005;N ANTIOX 4(25X7) FRA;1;58653
U103;795025;AC 4(25X7) HUESILLO;1;58660
U103;401724001;N 4(25X8) NARANJA;1;58661
U103;401724010;N 4(25X7) DURAZNO;1;58664
U103;401724011;N 4(25X7) PIÑA;1;58665
U103;506348;AC 4(25X7) POMELO RO;1;58667
U103;401724014;N 4(25X7) FRUTILLA;1;58668
U103;401724015;N 4(25X7) PERA AGUA;1;58669
U103;401724017;N 4(25X7) MANGO;1;58671
U103;401724007;N 4(25X7) BERRIES;1;58673
U103;401724006;N 4(25X7) MELON TUNA;1;58674
U103;401724002;N 4(25X7) PAPAYA;1;58679
U103;685553;AC 4(25X7) TE NEGRO ;1;58680
U103;690643;AC 4(25X7) TE DURAZN;1;58681
U103;401710001;AC 4(25X7) TE V LIMO;1;58682
U103;593562002;AC 4(25X7) MARACUYA;1;58688
U103;795026;N BLENDS PISCO SOUR ;1;58721
U103;795027;N BLENDS MOJITO 4x25;1;58723
U103;795028;N BLENDS CAIPIRINHA ;1;58724
U103;795029;N BLENDS PIÑA COLADA;1;58725
U103;795030;CER PIÑA/COCO 10x10;1;58745
U103;795031; MANZ/UVA BCA 10x10;1;58746
U103;795033;ECER NAR/FRUTIL 10x1;1;58748
U103;401634001;N NECT TET 10X1000 N;0;54416
U103;401634005;N NECT TET 10X1000 D;1;54417
U103;401634004;N NECT TET 10X1000 M;1;54418
U103;401634002;N NECT TET 10X1000 A;1;54420
U103;402622001;N NECT TET 4X6X200 N;1;54431
U103;402622002;N NECT TET 4X6X200 D;0;54432
U103;402622003;N NECT TET 4X6X200 M;1;54433
U103;646726;N NECT TET 4X6X200 P;1;54434
U103;840022;N NECTAR TET 4(6X200;0;54435
U103;401707001;N NECT PET 6X1500 NA;1;54461
U103;401707005;N NECT PET 6X1500 DU;1;54462
U103;401707004;N NECT PET 6X1500 MA;1;54463
U103;401707003;N NECT PET 6X1500 UV;1;54464
U103;401707002;N NECT PET 6X1500 AR;1;54465
U103;840023;N NECTAR PET 6X1500 ;1;54467
U103;840024;N NECTAR PET 6X1500 ;1;54468
U103;10528;RREY 24X170 GRS.;1;50041
U103;10527;RREY 24X100 GRS.;1;50042
U103;10526;RREY 48X50 GRS.;1;50043
U103;681943;CLA 24X100 DOYPACK;1;50117
U103;872417;MONTERREY C/LECHE 24;1;50340
U103;401712001;IGHT NARANJA 10X1000;1;54081
U103;401712004;IGHT DURAZNO 10X1000;1;54082
U103;401712003;IGHT PIÑA 10X1000;0;54084
U103;402621001;IGHT TETRA 24X200 NA;1;54361
U103;402621002;ET LIGHT DURAZNO 24X;0;54363
U103;401713001;ET 10X1000 NARANJA;1;54381
U103;401713002;ET 10X1000 PIÑA;1;54382
U103;401713003;ET 10X1000 DURAZNO;1;54383
U103;401713004;ET 10X1000 DAMASCO;1;54384
U103;401713005;ET 10X1000 MANZANA;1;54385
U103;401713006;ET 10X1000 MANGO;1;54386
U103;401713007;ET 10X1000 MULTIFRUT;1;54387
U103;401713008;ET 10X1000 FRUTILLA;1;54388
U103;402619001;A 6X1500 NARANJA;1;54521
U103;402619008;A 6X1500 PIÑA;1;54522
U103;402619007;A 6X1500 DURAZNO;1;54523
U103;402619006;A 6X1500 DAMASCO;1;54524
U103;402619005;A 6X1500 MANGO;1;54526
U103;402619004;A 6X1500 MULTIFRUTA;1;54527
U103;402619003;A 6X1500 FRUTIFRUTIL;1;54528
U103;402625007;ARANJA  4X6X200;1;57521
U103;402625001;IÑA     4X6X200;1;57522
U103;402625006;URAZNO  4X6X200;1;57523
U103;402625005;AMASCO  4X6X200;1;57524
U103;402625004;ANZANA  4X6X200;1;57525
U103;127960;ULTIFRU 4X6X200;1;57527
U103;706576;LIVEAN 20X20 CHOCOLA;1;56251
U103;706577;LIVEAN 20X20 VAINILL;1;56252
U103;883075;LIVEAN 20X20 Maracuy;1;56255
U103;883076;LIVEAN 20X20 CARAMEL;0;56256
U103;185021;IVEAN 20X22 NARANJA;1;56711
U103;185022;IVEAN 20X22 PIÑA;1;56712
U103;185017;IVEAN 20X22 DURAZNO;1;56713
U103;184702;IVEAN 20X22 BERRIES;1;56715
U103;185020;IVEAN 20X22 MANZANA ;1;56716
U103;185019;IVEAN 20X22 MANDARIN;1;56717
U103;7297;F 24X300;1;53014
U103;31926;F 14X500;1;53018
U103;7117; RAFF BOLSA  12X900;0;53021
U103;580032003;CHOC POT 24X400;1;53043
U103;401720003;FRUT BSA 24X400;1;53047
U103;401720001;CHOC BSA 24X400;1;53048
U103;144324;VAINILLA 24X200;1;53061
U103;144323;FRUTILLA 24X200;1;53062
U103;144322;CHOCOLAT 24X200;0;53063
U103;53863; RAFF CAN 24X400;1;53071
U103;571238;PROC 25 PORC MENOS A;1;53083
U103;10659;JAS CANISTER 48X36 G;1;52112
U103;213171; DOYPACK 24X100;1;50532
U103;10539; CAN 24X170;1;50541
U103;10540; CAN 24X100;1;50542
U103;401726001;24X200 FRUTILLA;1;55361
U103;401726003;24X200 NARANJA;1;55363
U103;401727004;LIGHT 80X20 NARANJA;1;57121
U103;401727005;LIGHT 80X20 PIÑA;1;57122
U103;401727006;LIGHT 80X20 DURAZNO;1;57123
U103;401727008;LIGHT 80X20 MANGO;1;57125
U103;401727009;LIGHT 80X20 FRUTI LL;1;57127
U103;401727010;LIGHT 80X20 FRAMBUES;1;57128
U103;401725003;UKO FRUT 60X60;1;57404
U103;401725004;UKO NARAN 60X60;1;57407
U103;401725006;UKO BLUE    60X60;1;57409
U103;795020;KO LIGHT 4 NARANJA 4;1;57423
U103;795021;KO LIGHT 4 FRUTAS TR;1;57424
U103;795022;KO LIGHT 4 BLUE 4X 2;1;57425
U103;184997;ZERO 4(25X8) NARANJA;1;57461
U103;401708001;ZERO 4(25X7) PIÑA;1;57462
U103;900816;NAC 6(28X35) NARANJA;1;57901
U103;900817;NAC 6(28X35) DURAZNO;1;57902
U103;900818;NAC 6(28X35) PIÑA;1;57903
U103;900819;NAC 6(28X35) MANZANA;1;57904
U103;900820;NAC 6(28X35) FRUTILL;1;57905
U103;900821;NAC 6(28X35) FRAMBUE;1;57906
U103;900822;NAC 6(28X35) DAMASCO;1;57907
U103;900823;NAC 6(28X35) PAPAYA;1;57908
U103;900824;NAC 6(28X35) MANGO;1;57909
U103;900825;NAC 6(28X35) NARANJA;1;57910
U103;900826;NAC 6(28X35) MELON T;1;57911
U103;900827;NAC 6(28X35) HUESILL;1;57912
U103;900828;NAC 6(28X35) KIWI;1;57913
U103;900829;NAC 6(28X35) ARANDAN;1;57914
U103;900831;NAC 6(28X35) LIMON D;1;57916
U103;900832;NUTRITION 6(28X35) N;1;57918
U103;900833;NAC TUTIFRUTI 6(28X3;1;57920
U103;900834;NAC TUTIFRUTI 6(28X3;1;57921
U103;900835;NAC TUTIFRUTI 6(28X3;1;57922
U103;900836;TEAFRUT 6(28X35) TE ;1;57923
U103;900837;TEAFRUT 6(28X35) TE ;1;57924
U103;6527; 3 SPAGHETTINI 400 G;1;26
U103;6532;ETTI TALLARIN 78 400;1;129
U103;6531;ETTI SPAGHETTI  5  4;1;230
U103;185007;ETTI SPAGHETTI  5 TR;1;235
U103;6530;ETTI CABELLO ANGEL 1;1;240
U103;6526;ETTI  TALLARIN 77  4;1;533
U103;6515;ETTI LASAÑA PREC 200;1;1203
U103;231748;ETTI PACK 3 SPAG 5 +;1;5067
U103;6516;ETTI CORBATAS 88  40;1;11488
U103;189988;ETTI  PEPITAS 27  25;1;18227
U103;189986;ETTI  CARACOLITOS 35;1;18235
U103;6542;ETTI  MARIPOSA 81  2;1;18281
U103;210336;ETTI  QUIFAROS 33  4;1;18433
U103;6521;ETTI  CARACOLES 36  ;1;18436
U103;6514;ETTI  MOSTACHOLI 42 ;1;18443
U103;6518;ETTI  CANUTO 47  400;1;18447
U103;185006;ETTI  RIGATTI TR3S 4;1;18449
U103;6528;ETTI CABELLITOS 51  ;1;18451
U103;6519;ETTI  ESPIRALES 56  ;1;18456
U103;6517;ETTI  CORBATITAS 83 ;1;18484
U103;579374;ETTI GNOCHETTI 400 G;1;22038
U103;756360;LLINI TOMATE MOZZARE;1;22066
U103;756361;LLINI VERDURAS LUCCH;1;22067
U103;576919;ETTI P.PRONTA MACARO;1;22070
U103;576922;ETTI P.PRONTA CARACO;1;22073
U103;192562;ETTI CORBATAS 88 TR3;1;22159
U103;606698;ETTI LASAÑA PREC 360;1;22166
U103;911960;ETTI VIOLETA 28 320G;0;22228
U103;911961;ETTI MARGARITA 29 32;0;22229
U103;549001;IRAL 400G + 1 SALSA ;1;22276
U103;201379;3 SPG 400g LU + M.MI;1;22278
U103;863651; PANTRUCAS 250 G MAR;1;22550
U103;139762;AS NTZZ 6(10X110) CA;1;25031
U103;139763;AS NTZZ 6(10X110) PA;1;25032
U103;139764;AS NTZZ 6(10X110) PO;1;25033
U103;761704;AS NTZZ 6(10X65) AJI;1;25036
U103;761705;AS NTZZ 6(10X128) PA;1;25037
U103;220613;ER 3(20X16) POLLO;1;25042
U103;220611;ER 3(20X16) CHOCLO;0;25043
U103;761707;PREM NTZZ 18X75 CHAM;1;25061
U103;761708;PREM NTZZ 18X75 POLL;0;25062
U103;761709;PREM NTZZ 18X75 ESPA;1;25063
U103;761710;PREM NTZZ 18X90 CHOC;1;25064
U103;761711;PREM NTZZ 18X90 ZAPA;1;25065
U103;761712;PREM NTZZ 18X95 TOMA;1;25066
U103;761714;PER PREM NTZZ 3(20X1;1;25082
U103;128222; NTZZ 18X74 CHAMPIÑO;1;25371
U103;128223; NTZZ 18X72 POLLO;1;25372
U103;128226; NTZZ 18X82 TOMATE;1;25373
U103;128227; NTZZ 18X76 ESPARRAG;1;25374
U103;128228; NTZZ 18X80 CHOCLO;1;25375
U103;128229;NTZZ 18X70 POLLO/FID;1;25381
U103;128230;NTZZ 18X80 POSTA/CAB;1;25382
U103;128239;NTZZ 18X70 CARNE/ANI;1;25383
U103;128218;NTZZ 18X70 CARACOLIT;1;25384
U103;128219;NTZZ 18X70 CARNE/VER;1;25385
U103;128221;NTZZ 18X73 POLLO/SEM;1;25386
U103;128237;NTZZ 18X70 POLLO/ARR;1;25387
U103;192302;NTZZ 18X60 COSTILLA/;1;25388
U103;402121001;REN NTZZ CARNE 6(30X;1;25784
U103;212176;REN NTZZ CARNE 6(20X;1;25785
U103;761715;REN NTZZ CARNE 30(48;1;25786
U103;402122001;REN NTZZ GALLI 6(30X;1;25787
U103;212178;REN NTZZ GALLI 6(20X;1;25788
U103;402122003;REN NTZZ COSTI 6(30X;1;25790
U103;402122002;REN NTZZ VERDU 6(30X;1;25791
U103;132462;UC-T DOY 24X200 ITAL;1;3705
U103;210186;UC-T DOY 24X200 NATU;1;3707
U103;402124001;UC-I POU 24X200 NAPO;1;3801
U103;402124004;UC-I POU 24X200 BOLO;1;3802
U103;402124003;UC-I POU 24X200 PIAM;1;3803
U103;402124002;UC-I POU 24X200 MEDI;1;3804
U103;713068; M.MIA RT.TARRO 48X2;1;22416
U103;713069; M.MIA RT.TARRO 48X2;1;22417
U103;561345; LUCC ITALIANA 6(6*2;1;22446
U103;189981;AL-P TAR 24X285 CARN;1;4650
U103;189982;AL-P TAR 24X285 CHAM;1;4651
U103;189983;AL-P TAR 24X285 OLIV;1;4652
U103;633015; ITALIANA  TALLIANI ;1;22511
U103;633016; ITALIANA TALLIANI 2;1;22512
U103;6535;A 250 G LUCCHETTI;1;541
U103;6537;A 500 G  FARDO LUCCH;1;2563
U103;6486;ANI SPAGHETTI 5  400;1;331
U103;6487;ANI  TALLARIN 77  40;1;332
U103;6491;ANI TALLARIN 78  400;1;333
U103;6489;ANI  CARACOL 36  400;1;12438
U103;6495;ANI  FARFALLE 89  40;1;12488
U103;6497;ANI NIDO FETTUCCINI ;1;12490
U103;185013;ANI NIDO FETTUCCINI ;0;12493
U103;185012;ANI NIDOS CAPELLINI ;1;12494
U103;133994;ANI  RIGATI 46 3 SAB;1;19446
U103;6488;ANI  RIGATI 48  400 ;1;19448
U103;6492;ANI CABELLITOS 51  4;1;19451
U103;6490;ANI SPIRALI 56  400 ;1;19456
U103;6496;ANI CORBATITAS 83  4;1;19483
U103;669435;ANI AL BRONCE FARFAL;1;22021
U103;669437;ANI AL BRONCE TALLAR;1;22023
U103;669439;ANI AL BRONCE ESPIRA;1;22025
U103;669440;ANI AL BRONCE GNOCCH;1;22026
U103;669441;ANI AL BRONCE TORCHI;1;22027
U103;212985;E MARAVILLA MIRAFLOR;1;959
U103;4914;E MIRAFLORES MARAVIL;1;24175
U103;189591;E MIRAFLORES VEGETAL;1;24176
U103;804656;ANIOLIVA TRADICIONAL;1;24220
U103;804657;ANI OLIVA TRADICIONA;0;24221
U103;804658;ANI OLIVA TRADICIONA;1;24224
U105;138751; 3/4 CREM 48X60;1;56301
U105;9693;ANT 1/2   48X60;1;56311
U105;8115;ANT LIGHT 48X42;1;56312
U105;60385;STELERA   48X76;0;56321
U105;10525;24X170 GRS.;1;50061
U105;10503;24X100 GRS;1;50062
U105;192563;48X50 GRS.;1;50063
U105;10529;DESC. 24X170 GRS.;1;50081
U105;10530;DESC. 24X100 GRS.;1;50082
U105;341325;ARABIGO 24X170;1;50191
U105;705850;LIOFILIZADO 12X100;1;50252
U105;879200;Y HILL 4(20X35) NARA;1;59311
U105;879201;Y HILL 4(20X35) DURA;1;59312
U105;879202;Y HILL 4(20X35) PIÑA;1;59313
U105;879203;Y HILL 4(20X35) FRUT;1;59314
U105;879204;Y HILL 4(20X35) MANZ;1;59316
U105;193366;O 8X320 ORIGINAL;1;53401
U105;193367;O 8X320 QUESO;1;53402
U105;193368;O 8X320 CR.CEBOLLA;1;53403
U105;193369;O PIZZA 8x320;1;53404
U105;193370;O 8X320 JAMON;1;53405
U105;848746;O AIR CRUNCH 14X140 ;1;53451
U105;848747;O AIR CRUNCH 14X140 ;1;53452
U105;184582;O 24X80 ORIGINAL;1;53536
U105;184590;O 24X80 QUESO;1;53537
U105;184575;O 24X80 CEBOLLA;1;53538
U105;184586;O 24X80 PIZZA O KETC;1;53539
U105;184578;O 24X80 JAMON;1;53540
U105;899945;O AIR CRUNCH 8(6X35);1;53543
U105;899946;O 8X6X40 ORIGINAL   ;1;53556
U105;899947;O 8X6X40 QUESO   dia;1;53557
U105;899949;O 4X5X40 SURTIDAS   ;0;53588
U105;685550;AC 4(25X7) LIMONADA ;1;58632
U105;685551;AC 4(25X7) LIMONADA ;1;58633
U105;685552;AC 4(25X7) LIMONADA ;1;58634
U105;401709001;N ANTIOX 4(25X7) MAN;1;58643
U105;401709002;N ANTIOX 4(25X7) PIÑ;1;58645
U105;401709005;N ANTIOX 4(25X7) FRA;1;58653
U105;795025;AC 4(25X7) HUESILLO;1;58660
U105;401724001;N 4(25X8) NARANJA;1;58661
U105;401724010;N 4(25X7) DURAZNO;1;58664
U105;401724011;N 4(25X7) PIÑA;1;58665
U105;401724014;N 4(25X7) FRUTILLA;1;58668
U105;401724015;N 4(25X7) PERA AGUA;1;58669
U105;401724017;N 4(25X7) MANGO;1;58671
U105;401724007;N 4(25X7) BERRIES;1;58673
U105;401724006;N 4(25X7) MELON TUNA;1;58674
U105;401724002;N 4(25X7) PAPAYA;1;58679
U105;685553;AC 4(25X7) TE NEGRO ;1;58680
U105;690643;AC 4(25X7) TE DURAZN;1;58681
U105;795026;N BLENDS PISCO SOUR ;1;58721
U105;795027;N BLENDS MOJITO 4x25;1;58723
U105;795028;N BLENDS CAIPIRINHA ;1;58724
